Name	Base_URL	Customer_ID	Requestor_ID	API_Key	Platform	Version	Delay	Retry	Support_Contact	Credentials_Expire	Customizations	Host_Types	Website	Notifications_URL	Usage_Data_Host	Usage_Data_Host_Contact	Usage_Data_Host_Website	Usage_Data_Host_URL
American Society of Mechanical Engineers Digital Collection	https://sitemaster.asmedigitalcollection.asme.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://asmedigitalcollection.asme.org/contact-us	Credentials do not auto expire	No customizations	eBook; eJournal	https://asmedigitalcollection.asme.org	https://registry.countermetrics.org/api/v1/sushi-service/9d26d946-0383-4789-b3e3-4ff6e0e70fe2/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
American Speech-Language-Hearing Association	https://pubs.asha.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.asha.org/form/contact-asha/	Credentials do not auto expire	No customizations	eJournal	https://pubs.asha.org/	https://registry.countermetrics.org/api/v1/sushi-service/a5d2e517-34a3-4511-af74-ffeca060b569/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Thoracic Society	https://www.atsjournals.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.atsjournals.org/general/contact	Credentials do not auto expire	No customizations	eJournal	https://www.atsjournals.org/	https://registry.countermetrics.org/api/v1/sushi-service/ec3e99c3-6de0-43f2-be01-1af17749b4c4/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Urological Association	https://www.auajournals.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=customerservice@AUAnet.org	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://www.auajournals.org/	https://registry.countermetrics.org/api/v1/sushi-service/1ab740fa-b236-4f51-9670-c5954572e37c/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
American Veterinary Medical Association Journals	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown	Form_url=https://avmajournals.avma.org/form?name=Contact	Credentials do not auto expire	No customizations	eJournal	https://avmajournals.avma.org/	https://registry.countermetrics.org/api/v1/sushi-service/d3eb991b-68f8-4288-b3a7-6a43c22ab2ce/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Amsterdam University Press	https://www.aup-online.com/counter5/sushi/r51	Available from the librarian administration page.	Required: Available from the librarian administration page.	Not required		5.1	No volume limits	Queuing reports unknown	Email=info@aup.nl	Credentials do not auto expire	No customizations	eJournal	https://www.aup-online.com/	https://registry.countermetrics.org/api/v1/sushi-service/4db82ed3-749d-4c4b-a338-04037ed97f2f/notification/	Ingenta	Person=Priya Parvatikar, Email=priya.parvatikar@ingenta.com	https://www.ingenta.com/	https://registry.countermetrics.org/api/v1/usage-data-host/3f6680c0-d66b-49a8-b18f-0e238f3c4a73/
Annals of Saudi Medicine	https://www.annsaudimed.net/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=asm@kfshrc.edu.sa	Credentials do not auto expire	No customizations	eJournal	https://www.annsaudimed.net/	https://registry.countermetrics.org/api/v1/sushi-service/8cb9431c-1b9b-429a-a5bb-1284795e99e1/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Annual Reviews	https://www.annualreviews.org/counter5/sushi/r51	Available from the librarian administration page.	Required: Available from the librarian administration page.	Not required		5.1	No volume limits	Queuing reports unknown	Email=support@annualreviews.org	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://www.annualreviews.org/	https://registry.countermetrics.org/api/v1/sushi-service/a146c7e0-1e3a-4c9d-a19f-0fee37be265b/notification/	Ingenta	Person=Priya Parvatikar, Email=priya.parvatikar@ingenta.com	https://www.ingenta.com/	https://registry.countermetrics.org/api/v1/usage-data-host/3f6680c0-d66b-49a8-b18f-0e238f3c4a73/
APA PsychInfo	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or from the publisher	Required: Available from the LibLynx portal or from the publisher	Not required		5.1	No volume limits	Queuing reports unknown	Email=psycinfo@apa.org	Credentials do not auto expire	No customizations	A&I_Database	https://psycinfo.apa.org/	https://registry.countermetrics.org/api/v1/sushi-service/11bbc902-1e9f-460c-a452-80e4c94a2b1b/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
APA PsycNET	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	A&I_Database	https://psycnet.apa.org/home	https://registry.countermetrics.org/api/v1/sushi-service/31ab2131-d1c4-4b62-a939-f4fd87f11556/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Artists of the World	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or service@degruyter.com	Required: Available from the LibLynx portal or service@degruyter.com	Required: Available from the LibLynx portal or service@degruyter.com		5.1	No volume limits	Queuing reports unknown	Person=Bettina de Keijzer, Email=Bettina.deKeijzer@degruyterbrill.com, Phone=+493026005237	Credentials do not auto expire	No customizations	Full_Content_Database	https://aow.degruyter.com	https://registry.countermetrics.org/api/v1/sushi-service/af01d6ed-ebf2-4846-acad-38505bec2907/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
ASM Digital Collection	https://sitemaster.dl.asminternational.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=memberservicecenter@asminternational.org	Credentials do not auto expire	No customizations	eBook; eJournal	https://dl.asminternational.org/	https://registry.countermetrics.org/api/v1/sushi-service/d25de4be-8277-4f9e-803a-01cbd74c6000/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
ASM Journals	https://journals.asm.org/reports/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=ejournals@asmusa.org	Credentials do not auto expire	No customizations	eJournal	https://journals.asm.org/	https://registry.countermetrics.org/api/v1/sushi-service/11e1e350-e785-4b30-a516-5a333fbd7935/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Association for Computing Machinery	https://dl.acm.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=dl-team@hq.acm.org	Credentials do not auto expire	No customizations	eBook; eJournal	https://dl.acm.org/	https://registry.countermetrics.org/api/v1/sushi-service/98521825-7a6d-4d3b-b4a5-60f7c651a643/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Association for Materials Protection and Performance	https://sitemaster-ampp.silverchair.com//sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://www.ampp.org/get-support	Credentials do not auto expire	No customizations	eBook; eJournal	https://content.ampp.org/	https://registry.countermetrics.org/api/v1/sushi-service/19f7c72f-65c0-4120-9e73-657fdf9a6bcd/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
Association of American Medical Colleges	https://www.mededportal.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=mededportal@aamc.org	Credentials do not auto expire	No customizations	eJournal	https://www.mededportal.org/	https://registry.countermetrics.org/api/v1/sushi-service/cfa7a520-a76d-48e5-9529-73844519e454/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Association of periOperative Registered Nurses Guidelines	https://sitemaster.aornguidelines.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Email=custsvc@aorn.org, Form_url=https://aornguidelines.org/feedback	Credentials do not auto expire	No customizations	eBook	https://aornguidelines.org	https://registry.countermetrics.org/api/v1/sushi-service/7049e17a-1b1a-4b98-bd2f-cc1638dc2fa1/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
Association of Research in Vision Opthalmology Journals	https://sitemaster.arvojournals.org/sushi/r51	Customer ID is the identifier for the institution for which usage is reported	Required: Requestor ID is the identifier for the authorized user running the report	Required: Unique to the requestor and available with the other identifiers		5.1	No volume limits	Queuing reports unknown	Form_url=https://arvojournals.org/contact.aspx	Credentials do not auto expire	No customizations	eJournal	https://www.arvojournals.org	https://registry.countermetrics.org/api/v1/sushi-service/15436f44-8dcf-401f-a3da-9e43b85c86b6/notification/	Silverchair Information Systems/Silverchair	Person=Silverchair COUNTER, Email=counter@silverchair.com		https://registry.countermetrics.org/api/v1/usage-data-host/951dcf72-b245-493d-9319-93d85d890494/
Berghahn Books	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://www.berghahnbooks.com/	https://registry.countermetrics.org/api/v1/sushi-service/3b604df1-a99b-4e2e-adf7-c48eccb20435/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Bibliographie de la littérature française	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or from the publisher	Required: Available from the LibLynx portal or from the publisher	Not required		5.1	No volume limits	Queuing reports unknown	Person=Cécile Waroquaux, Email=cecilewaroquaux@classiques-garnier.com, Phone=+33143261658	Credentials do not auto expire	No customizations	A&I_Database	https://num.classiques-garnier.com/blf	https://registry.countermetrics.org/api/v1/sushi-service/c3881db7-2d39-4b4b-a42e-f3faf8657587/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
BioMed Central	https://counter.public.springernature.app/r51/	Can be found in the Springer Nature Librarian Portal https://librarian.springernature.com/organizations/counter-5-1	Required: Can be found in the Springer Nature Librarian Portal https://librarian.springernature.com/organizations/counter-5-1	Required: Can be found in the Springer Nature Librarian Portal https://librarian.springernature.com/organizations/counter-5-1		5.1	No volume limits	Queuing reports unknown	Person=Björn Johansson, Email=bjorn.johansson@springernature.com	Credentials do not auto expire	No customizations	eJournal	https://www.biomedcentral.com/journals	https://registry.countermetrics.org/api/v1/sushi-service/ec4e4397-fe54-46a8-97c1-402893ea2635/notification/	Springer Nature	Person=Björn Johansson, Email=bjorn.johansson@springernature.com	https://www.springernature.com/	https://registry.countermetrics.org/api/v1/usage-data-host/3de8f6aa-adc6-4e9c-b524-be3cabcb818c/
BioOne	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown	Email=tech.admin@bioone.org	Credentials do not auto expire	No customizations	eJournal; eBook	https://bioone.org	https://registry.countermetrics.org/api/v1/sushi-service/491671c8-c839-4cb0-8372-f20cbd876a07/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Bioscientifica	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown		Credentials do not auto expire	No customizations	eBook; eJournal	https://www.bioscientifica.com/	https://registry.countermetrics.org/api/v1/sushi-service/952d4636-07fd-49c3-a60f-72505ef89c6f/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Brepols Publishers	https://www.brepolsonline.net/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=online@brepols.net	Credentials do not auto expire	No customizations	eJournal	https://www.brepolsonline.net/	https://registry.countermetrics.org/api/v1/sushi-service/d910a011-b307-4dd9-a0d6-5d33e24a3d85/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Bridget Williams Books	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or from the publisher	Required: Available from the LibLynx portal or from the publisher	Not required		5.1	No volume limits	Queuing reports unknown	Email=collections@bwb.co.nz	Credentials do not auto expire	No customizations	eBook; eJournal	https://www.bwb.co.nz/	https://registry.countermetrics.org/api/v1/sushi-service/6fe0a0b5-462d-4b73-b48d-6e63c76520b1/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
Brill	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown	Form_url=https://brill.com/form?name=ContactForm	Credentials do not auto expire	No customizations	eBook; eJournal	https://brill.com/	https://registry.countermetrics.org/api/v1/sushi-service/cb065b74-a591-4a99-a1db-18c46cdbccb3/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
Bristol University Press	https://sushi5.scholarlyiq.com/counter/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Not required		5.1	Volume limits apply: Requests are limited to 1 per second. Compressed responses are supported through Accept-Encoding header.	Queuing reports unknown	Email=bup-info@bristol.ac.uk	Credentials do not auto expire	No customizations	eBook; eJournal	https://bristoluniversitypressdigital.com/	https://registry.countermetrics.org/api/v1/sushi-service/e55b05b0-0adf-4151-8ea8-d5d730f51ff4/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
British Institute of Radiology	https://www.birpublications.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=admin@bir.org.uk	Credentials do not auto expire	No customizations	eJournal; eBook	https://www.birpublications.org/	https://registry.countermetrics.org/api/v1/sushi-service/864f7d1c-142b-48bd-bf0b-62520cc60317/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
British Medical Journal	https://api.siqcloud.online/counterapi/r51	Please access your Customer ID from the publisher reporting service	Required: Please access your Requestor ID from the publisher reporting service	Required: Please access your API Key from the publisher reporting service		5.1	No volume limits	Queuing reports unknown	Email=support@bmj.com	Credentials do not auto expire	No customizations	eJournal; Full_Content_Database	https://bmj.com	https://registry.countermetrics.org/api/v1/sushi-service/c2b393b1-6142-4fe9-93d7-04df0b34eee8/notification/	Scholarly iQ	Person=Stuart Maxwell, Email=stuart.maxwell@scholarlyiq.com, Phone=+447580723230, Form_url=https://www.scholarlyiq.com/contact/	https://www.scholarlyiq.com/	https://registry.countermetrics.org/api/v1/usage-data-host/436ccfaa-f0dd-4b50-a31f-63005c2feae7/
British Online Archives	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or from the publisher	Required: Available from the LibLynx portal or from the publisher	Not required		5.1	No volume limits	Queuing reports unknown	Email=info@britishonlinearchives.co.uk	Credentials do not auto expire	No customizations	Multimedia_Collection	https://microform.digital/boa/collections	https://registry.countermetrics.org/api/v1/sushi-service/ff1e3ac0-e415-414a-80bc-0cacdea2db7b/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
British Small Animal Veterinary Association	https://www.bsavalibrary.com/counter5/sushi/r51	Available from the librarian administration page.	Required: Available from the librarian administration page.	Not required		5.1	No volume limits	Queuing reports unknown	Email=sales@bsava.com	Credentials do not auto expire	No customizations	eJournal; eBook	https://www.bsavalibrary.com/	https://registry.countermetrics.org/api/v1/sushi-service/1be89a5c-a769-402b-a1de-b94958ef8329/notification/	Ingenta	Person=Priya Parvatikar, Email=priya.parvatikar@ingenta.com	https://www.ingenta.com/	https://registry.countermetrics.org/api/v1/usage-data-host/3f6680c0-d66b-49a8-b18f-0e238f3c4a73/
Building Types Online	https://connect.liblynx.com/sushi/r51	Available from the LibLynx portal or service@degruyter.com	Required: Available from the LibLynx portal or service@degruyter.com	Required: Available from the LibLynx portal or service@degruyter.com		5.1	No volume limits	Queuing reports unknown	Person=Bettina de Keijzer, Email=Bettina.deKeijzer@degruyterbrill.com, Phone=+493026005237	Credentials do not auto expire	No customizations	Full_Content_Database	https://bdt.degruyter.com	https://registry.countermetrics.org/api/v1/sushi-service/8bb605d5-a396-4cfa-af63-4beba67c7884/notification/	LibLynx	Email=info@liblynx.com, Form_url=https://www.liblynx.com/contact-us/	https://www.liblynx.com/	https://registry.countermetrics.org/api/v1/usage-data-host/dcd08025-f8fb-48d8-a322-9a8a4043b518/
Cabells	https://sushi.cabells.com/sushi/r51	Please email counter@cabells.com for a customer ID	Not required	Required: Please email counter@cabells.com for API Key information		5.1	No volume limits	Queuing reports unknown	Email=counter@cabells.com, Form_url=https://www2.cabells.com/contact	Credentials do not auto expire	No customizations	A&I_Database	https://www.cabells.com/	https://registry.countermetrics.org/api/v1/sushi-service/fa5e4f31-5925-4baa-a916-2e2f8c122f36/notification/	Cabells	Email=counter@cabells.com, Form_url=https://www2.cabells.com/contact	https://www.cabells.com/	https://registry.countermetrics.org/api/v1/usage-data-host/f6b98fc7-f6fa-4492-8b7a-d7ed9e627e23/
CABI Digital Library	https://cabidigitallibrary.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=support@cabi.org, Form_url=https://cabidigitallibrary.org/contact-us	Credentials do not auto expire	No customizations	eJournal; eBook_Collection; eBook	https://cabidigitallibrary.org/	https://registry.countermetrics.org/api/v1/sushi-service/705ffa22-c1c2-402d-90e5-996cab59130f/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Cambridge Core	https://counter5.cambridge.org/r51/sushi-docs	provided in library tools	Required: provided in library tools	Not required		5.1	No volume limits	Queuing reports unknown	Person=Arnold Helera, Email=arnold.helera@cambridge.org	Credentials do not auto expire	No customizations	eBook; eJournal	https://www.cambridge.org/core/	https://registry.countermetrics.org/api/v1/sushi-service/b46ef4df-27c5-40d8-962f-a49f77552dbe/notification/	Cambridge Core	Person=Arnold Helera, Email=arnold.helera@cambridge.org	https://www.cambridge.org/core/	https://registry.countermetrics.org/api/v1/usage-data-host/f99b26dc-7376-4b1c-aa20-6108c4a3be6e/
Canadian Science Publishing	https://cdnsciencepub.com/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=pubs@cdnsciencepub.com	Credentials do not auto expire	No customizations	eJournal; eBook	https://cdnsciencepub.com/	https://registry.countermetrics.org/api/v1/sushi-service/47877a45-0297-436b-9170-8b417ec3f1fe/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Carl Hanser Verlag	https://www.hanser-elibrary.com/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=onlinesupport@hanser.de	Credentials do not auto expire	No customizations	eBook	https://www.hanser-elibrary.com/	https://registry.countermetrics.org/api/v1/sushi-service/289b5015-a882-43ca-98ff-369824930913/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Certified Financial Planner Board of Standards	https://www.cfp.net/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown		Credentials do not auto expire	No customizations	eBook; eJournal	https://www.cfp.net/	https://registry.countermetrics.org/api/v1/sushi-service/dcca2478-1d3f-4366-9e8a-0083b67d26e5/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Chemical Society of Japan	https://www.journal.csj.jp/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown	Email=info@chemistry.or.jp	Credentials do not auto expire	No customizations	Aggregated_Full_Content	https://www.journal.csj.jp/	https://registry.countermetrics.org/api/v1/sushi-service/04be069c-d36e-40bf-bf03-50bf6c0795bd/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
Chinese Chemical Society	https://www.chinesechemsoc.org/r51	Customer ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Required: Requestor ID is available on the 'Usage reporting' page in the Institution admin area. New consumers, please use contact/support details to inquire further.	Not required		5.1	No volume limits	Queuing reports unknown		Credentials do not auto expire	No customizations	eJournal	https://www.chinesechemsoc.org/	https://registry.countermetrics.org/api/v1/sushi-service/ff8efd42-581c-4fd8-b3eb-a53f15964848/notification/	Atypon Systems	Email=librarians@atypon.com	https://www.atypon.com/	https://registry.countermetrics.org/api/v1/usage-data-host/761269a2-27ed-44ce-8a8f-cca4f198c23f/
